Index,Arrival Time,Job Size
290,20867,50
291,20976,48
292,21050,49
293,21105,240
294,21227,232
295,21318,253
296,21374,254
297,21473,233
298,21576,254
299,21646,250
300,21729,278
301,21777,251
302,21840,242
303,21945,241
304,21988,246
305,22078,225
306,22150,49
307,22286,230
308,22344,271
309,22416,240
310,22478,252
311,22541,253
312,22613,53
313,22689,47
314,22739,244
315,22812,54
316,22884,249
317,22961,254
318,23009,272
319,23088,253
320,23157,258
321,23266,261
322,23352,266
323,23404,265
324,23470,48
325,23588,249
326,23651,247
327,23729,0
328,23795,223
329,23861,267
330,23920,47
331,23977,246
332,24045,221
333,24127,266
334,24185,259
335,24284,251
336,24344,47
337,24445,240
338,24515,245
339,24613,52
340,24699,242
341,24795,238
342,24874,245
343,24937,244
344,24991,50
345,25086,25
346,25155,258
347,25248,46
348,25315,32
349,25373,270
350,25465,243
351,25542,244
352,25633,256
353,25711,50
354,25768,43
355,25833,241
356,25912,240
357,25947,251
358,25984,54
359,26061,250
360,26087,250
361,26161,41
362,26204,257
363,26293,238
364,26375,227
365,26440,240
366,26504,244
367,26589,241
368,26671,248
369,26746,253
370,26830,239
371,26934,224
372,27023,221
373,27133,277
374,27240,241
375,27331,264
376,27419,232
377,27475,228
378,27576,252
379,27659,240
380,27753,243
381,27846,63
382,27919,229
383,27986,262
384,28078,236
385,28095,249
386,28168,255
387,28271,46
388,28343,242
389,28424,247
390,28444,48
391,28523,251
392,28620,261
393,28669,55
394,28719,248
395,28821,259
396,28910,44
397,28975,55
398,29071,57
399,29177,275
400,29242,259
401,29332,247
402,29383,243
403,29483,47
404,29532,62
405,29592,250
406,29659,223
407,29728,264
408,29804,223
409,29884,251
410,29974,247
411,30050,268
412,30143,231
413,30227,248
414,30315,259
415,30381,31
416,30452,239
417,30496,254
418,30595,243
419,30665,267
420,30740,236
421,30812,245
422,30885,245
423,30984,261
424,31043,45
425,31114,265
426,31189,251
427,31255,259
428,31326,242
429,31400,0
430,31484,253
431,31539,255
432,31665,240
433,31739,260
434,31828,276
435,31900,238
436,31975,246
437,32018,0
438,32047,54
439,32111,217
440,32182,266
441,32267,281
442,32331,227
443,32407,254
444,32499,263
445,32549,40
446,32574,247
447,32652,241
448,32715,264
449,32798,253
450,32890,260
451,32965,47
452,33044,41
453,33101,230
454,33167,269
455,33251,259
456,33284,248
457,33335,232
458,33378,235
459,33439,243
460,33539,275
461,33620,60
462,33706,47
463,33777,49
464,33847,242
465,33935,261
466,34001,250
467,34040,227
468,34102,217
469,34170,220
470,34263,235
471,34291,226
472,34357,281
473,34414,245
474,34475,253
475,34561,232
476,34620,229
477,34738,0
478,34837,235
479,34921,237
480,35017,262
481,35082,263
482,35148,264
483,35222,237
484,35299,267
485,35366,272
486,35424,253
487,35552,235
488,35640,271
489,35705,267
490,35797,252
491,35864,50
492,35960,254
493,36015,257
494,36078,253
495,36170,248
496,36220,31
497,36285,256
498,36379,261
499,36403,207
500,36459,261
501,36543,294
502,36602,275
503,36681,53
504,36762,245
505,36849,236
506,36942,244
507,37036,43
508,37061,261
509,37155,267
510,37260,234
511,37375,269
512,37444,237
513,37522,257
514,37614,269
515,37680,240
516,37736,269
517,37790,248
518,37890,61
519,37993,67
520,38068,262
521,38125,220
522,38189,229
523,38245,42
524,38316,246
525,38367,238
526,38417,263
527,38485,259
528,38575,252
529,38666,48
530,38760,228
531,38823,264
532,38903,231
533,38989,258
534,39051,26
535,39135,227
536,39205,266
537,39319,51
538,39375,257
539,39425,262
540,39477,253
541,39537,253
542,39626,39
543,39678,241
544,39730,248
545,39844,228
546,39984,46
547,40063,243
548,40141,240
549,40238,52
550,40328,230
551,40408,256
552,40481,251
553,40551,274
554,40611,223
555,40646,258
556,40727,225
557,40800,256
558,40863,243
559,40932,267
560,40962,241
561,41046,58
562,41138,252
563,41201,222
564,41258,243
565,41346,226
566,41401,246
567,41477,275
568,41566,62
569,41653,50
570,41740,241
571,41794,254
572,41922,218
573,41960,262
574,42072,260
575,42165,35
576,42236,259
577,42332,259
578,42439,52
579,42521,265
580,42623,274
581,42697,253
582,42767,250
583,42835,259
584,42927,245
585,43048,262
586,43076,265
587,43164,245
588,43253,230
589,43312,260
590,43390,41
591,43445,249
592,43524,266
593,43634,250
594,43680,240
595,43756,246
596,43860,243
597,43951,240
598,44048,36
599,44105,244
600,44181,49
601,44260,53
602,44336,276
603,44409,233
604,44497,53
605,44569,257
606,44673,247
607,44749,279
608,44827,247
609,44939,33
610,45012,238
611,45078,34
612,45185,237
613,45264,252
614,45329,248
615,45391,274
616,45447,260
617,45480,252
618,45565,217
619,45687,236
620,45763,249
621,45837,247
622,45915,223
623,45981,28
624,46045,258
625,46124,252
626,46192,247
627,46236,46
628,46328,71
629,46368,253
630,46445,38
631,46565,65
632,46663,249
633,46750,248
634,46872,242
635,46945,238
636,47007,239
637,47073,247
638,47142,253
639,47233,255
640,47313,31
641,47377,64
642,47451,247
643,47530,253
644,47635,260
645,47739,255
646,47812,269
647,47861,251
648,47909,53
649,48015,55
650,48041,269
651,48163,49
652,48229,258
653,48288,230
654,48387,36
655,48446,252
656,48531,238
657,48622,200
658,48676,242
659,48745,260
660,48832,261
661,48912,227
662,49005,250
663,49059,249
664,49110,266
665,49136,252
666,49231,245
667,49294,246
668,49385,258
669,49471,268
670,49578,47
671,49650,267
672,49704,253
673,49759,256
674,49874,235
675,49932,237
676,49989,235
677,50049,227
678,50173,252
679,50252,251
680,50321,267
681,50388,245
682,50474,232
683,50513,252
684,50585,236
685,50647,224
686,50700,249
687,50764,244
688,50782,263
689,50871,256
690,50954,241
691,51046,252
692,51136,245
693,51247,247
694,51301,246
695,51360,279
696,51442,265
697,51536,281
698,51617,242
699,51650,258
700,51724,51
701,51848,244
702,51925,253
703,52011,243
704,52108,49
705,52230,213
706,52278,244
707,52323,241
708,52390,251
709,52459,238
710,52527,262
711,52611,57
712,52687,268
713,52748,42
714,52844,57
715,52924,234
716,53031,256
717,53126,256
718,53208,27
719,53285,257
720,53346,255
721,53404,266
722,53485,230
723,53544,59
724,53622,243
725,53666,250
726,53748,242
727,53821,240
728,53909,257
729,53965,257
730,54033,261
731,54087,227
732,54154,235
733,54294,239
734,54372,54
735,54462,40
736,54520,61
737,54611,205
738,54659,232
739,54739,246
740,54828,241
741,54931,57
742,55009,37
743,55098,45
744,55189,66
745,55277,243
746,55354,261
747,55453,238
748,55526,243
749,55583,285
750,55635,59
751,55696,265
752,55752,238
753,55834,263
754,55907,228
755,55968,260
756,55996,233
757,56099,232
758,56147,233
759,56219,256
760,56299,239
761,56366,237
762,56465,263
763,56556,266
764,56642,223
765,56681,248
766,56749,54
767,56811,260
768,56924,41
769,57017,249
770,57094,43
771,57170,236
772,57238,227
773,57345,253
774,57429,272
775,57501,42
776,57583,267
777,57656,250
778,57738,234
779,57788,245
780,57851,257
781,57939,253
782,58031,55
783,58142,75
784,58196,46
785,58269,248
786,58348,255
787,58429,258
788,58489,51
789,58572,259
790,58663,28
791,58757,205
792,58806,218
793,58847,243
794,58908,58
795,58979,263
796,59071,31
797,59147,271
798,59226,258
799,59294,292
800,59352,272
801,59399,252
802,59475,265
803,59543,249
804,59613,245
805,59698,37
806,59767,231
807,59807,64
808,59905,282
809,59924,238
810,60015,257
811,60092,238
812,60146,43
813,60212,40
814,60291,46
815,60348,261
816,60404,36
817,60488,267
818,60558,45
819,60626,240
820,60721,53
821,60775,242
822,60841,228
823,60877,237
824,60969,257
825,61085,270
826,61120,248
827,61166,271
828,61242,247
829,61315,62
830,61360,237
831,61467,252
832,61536,238
833,61611,249
834,61690,268
835,61781,45
836,61844,264
837,61908,263
838,62011,261
839,62098,243
840,62160,55
841,62249,251
842,62311,56
843,62388,272
844,62451,252
845,62528,256
846,62614,243
847,62697,239
848,62760,268
849,62863,225
850,62914,223
851,62965,266
852,63005,245
853,63090,255
854,63145,228
855,63214,271
856,63297,243
857,63363,238
858,63444,242
859,63485,48
860,63530,226
861,63606,257
862,63664,255
863,63743,263
864,63826,243
865,63874,64
866,63945,247
867,64001,41
868,64111,58
869,64216,43
870,64311,246
871,64342,245
872,64418,249
873,64529,277
874,64594,237
875,64684,263
876,64743,244
877,64814,252
878,64872,250
879,64958,238
880,65043,253
881,65135,241
882,65162,46
883,65240,248
884,65330,47
885,65397,280
886,65472,53
887,65555,256
888,65643,272
889,65687,231
890,65779,278
891,65840,267
892,65920,250
893,66006,250
894,66086,44
895,66193,51
896,66263,256
897,66347,252
898,66427,248
899,66495,233
900,66573,253
901,66640,231
902,66725,274
903,66808,251
904,66885,64
905,66989,260
906,67095,251
907,67176,246
908,67254,248
909,67317,236
910,67384,56
911,67520,249
912,67590,244
913,67660,241
914,67733,278
915,67804,270
916,67880,280
917,67963,269
918,68055,231
919,68182,263
920,68252,242
921,68305,61
922,68380,61
923,68451,258
924,68499,63
925,68554,44
926,68631,260
927,68723,56
928,68813,236
929,68876,245
930,68940,52
931,68967,58
932,68987,248
933,69066,257
934,69133,252
935,69210,45
936,69270,242
937,69385,235
938,69469,43
939,69561,255
940,69614,213
941,69666,235
942,69699,243
943,69745,251
944,69852,248
945,69916,238
946,70002,275
947,70061,276
948,70123,247
949,70209,231
950,70254,255
951,70342,250
952,70432,249
953,70541,262
954,70620,250
955,70704,269
956,70764,234
957,70816,231
958,70903,259
959,70974,258
960,71010,262
961,71100,54
962,71201,265
963,71292,252
964,71379,237
965,71464,232
966,71531,243
967,71608,228
968,71696,237
969,71789,251
970,71874,283
971,71952,253
972,72037,234
973,72094,237
974,72148,40
975,72204,228
976,72309,257
977,72382,221
978,72462,248
979,72530,253
980,72625,221
981,72693,209
982,72778,38
983,72850,245
984,72888,267
985,72971,50
986,73037,268
987,73102,74
988,73179,245
989,73245,237
990,73306,60
991,73375,256
992,73470,56
993,73535,272
994,73610,255
995,73668,274
996,73710,246
997,73807,22
998,73882,225
999,73968,247
1000,74061,232
1001,74142,261
1002,74220,258
1003,74331,233
1004,74400,241
1005,74455,0
1006,74510,0
1007,74546,232
1008,74647,216
1009,74687,53
1010,74737,53
1011,74803,45
1012,74864,288
1013,74943,49
1014,74949,244
1015,75027,53
1016,75117,244
1017,75165,228
1018,75240,30
1019,75318,245
1020,75389,281
1021,75454,274
1022,75548,237
1023,75588,231
1024,75682,48
1025,75761,254
1026,75822,252
1027,75856,37
1028,75933,238
1029,76043,230
1030,76098,47
1031,76164,233
1032,76217,247
1033,76294,271
1034,76349,49
1035,76461,248
1036,76562,37
1037,76658,253
1038,76736,233
1039,76819,243
1040,76893,250
1041,76953,262
1042,77028,268
1043,77103,236
1044,77154,256
1045,77203,252
1046,77290,68
1047,77357,230
1048,77398,51
1049,77455,34
1050,77557,54
1051,77627,261
1052,77718,235
1053,77820,251
1054,77854,244
1055,77892,48
1056,77976,66
1057,78056,36
1058,78117,34
1059,78174,228
1060,78259,250
1061,78325,250
1062,78381,222
1063,78452,211
1064,78497,239
1065,78583,0
1066,78653,67
1067,78727,242
1068,78814,238
1069,78885,246
1070,78951,52
1071,79046,235
1072,79138,245
1073,79214,235
1074,79281,257
1075,79367,244
1076,79445,244
1077,79503,263
1078,79587,241
1079,79664,278
1080,79722,230
1081,79802,264
1082,79881,212
1083,79960,53
1084,80035,237
1085,80102,272
1086,80164,255
1087,80218,0
1088,80307,242
1089,80415,0
1090,80448,251
1091,80538,44
1092,80610,234
1093,80702,47
1094,80790,280
1095,80880,235
1096,81006,0
1097,81058,244
1098,81170,0
1099,81239,242
1100,81303,273
1101,81401,48
1102,81496,233
1103,81601,58
1104,81699,263
1105,81766,64
1106,81841,257
1107,81939,239
1108,81998,261
1109,82069,55
1110,82139,50
1111,82242,244
1112,82309,260
1113,82409,252
1114,82444,240
1115,82504,261
1116,82572,258
1117,82667,58
1118,82710,245
1119,82763,236
1120,82836,270
1121,82896,236
1122,82948,263
1123,83037,245
1124,83121,241
1125,83202,248
1126,83254,273
1127,83288,257
1128,83343,223
1129,83432,277
1130,83501,236
1131,83544,252
1132,83608,269
1133,83685,234
1134,83764,59
1135,83846,254
1136,83931,48
1137,83955,54
1138,84031,55
1139,84096,54
1140,84157,0
1141,84221,237
1142,84281,259
1143,84338,257
1144,84390,240
1145,84413,269
1146,84508,256
1147,84580,264
1148,84682,262
1149,84761,273
1150,84822,40
1151,84901,249
1152,84963,250
1153,85027,54
1154,85114,232
1155,85183,35
1156,85264,236
1157,85340,228
1158,85405,255
1159,85489,233
1160,85527,253
1161,85598,226
1162,85713,232
1163,85807,257
1164,85877,251
1165,85934,221
1166,86015,241
1167,86089,273
1168,86177,271
1169,86236,236
1170,86292,237
1171,86425,251
1172,86461,240
1173,86563,239
1174,86660,0
1175,86730,241
1176,86817,57
1177,86899,254
1178,86962,265
1179,87003,224
1180,87101,242
1181,87185,248
1182,87295,49
1183,87354,241
1184,87459,47
1185,87580,262
1186,87641,259
1187,87736,261
1188,87799,246
1189,87875,219
1190,87929,238
1191,88002,271
1192,88067,243
1193,88181,40
1194,88254,253
1195,88349,249
1196,88450,267
1197,88523,247
1198,88626,231
1199,88721,257
1200,88773,259
1201,88854,276
1202,88894,44
1203,88955,230
1204,89012,234
1205,89067,257
1206,89160,49
1207,89281,243
1208,89365,232
1209,89465,36
1210,89573,233
1211,89669,242
1212,89755,244
1213,89821,236
1214,89903,266
1215,89993,241
1216,90108,237
1217,90186,237
1218,90247,277
1219,90267,43
1220,90335,241
1221,90409,243
1222,90473,43
1223,90524,242
1224,90595,251
1225,90635,243
1226,90701,250
1227,90780,263
1228,90860,249
1229,90909,271
1230,91002,62
1231,91085,255
1232,91147,230
1233,91230,49
1234,91325,248
1235,91429,240
1236,91500,223
1237,91591,265
1238,91682,50
1239,91767,221
1240,91858,215
1241,91958,236
1242,92004,265
1243,92076,270
1244,92157,263
1245,92259,243
1246,92311,231
1247,92387,229
1248,92457,64
1249,92519,237
1250,92594,217
1251,92711,247
1252,92812,248
1253,92898,253
1254,92975,51
1255,93032,243
1256,93109,231
1257,93194,257
1258,93246,254
1259,93325,55
1260,93412,43
1261,93485,226
1262,93565,237
1263,93619,246
1264,93685,55
1265,93784,261
1266,93878,265
1267,93998,253
1268,94079,266
1269,94163,255
1270,94255,251
1271,94355,41
1272,94502,264
1273,94587,46
1274,94682,257
1275,94765,252
1276,94822,240
1277,94867,223
1278,94938,267
1279,94962,244
1280,95048,247
1281,95112,253
1282,95209,236
1283,95241,256
1284,95328,254
1285,95408,73
1286,95475,265
1287,95576,52
1288,95643,256
1289,95711,282
1290,95752,61
1291,95864,267
1292,95939,248
1293,96004,46
1294,96035,237
1295,96119,243
1296,96206,253
1297,96311,235
1298,96383,236
1299,96451,250
1300,96518,37
1301,96583,252
1302,96620,226
1303,96692,230
1304,96766,242
1305,96878,242
1306,96938,260
1307,97023,231
1308,97124,251
1309,97184,248
1310,97268,252
1311,97321,250
1312,97356,246
1313,97473,239
1314,97504,220
1315,97600,249
1316,97685,245
1317,97749,241
1318,97827,255
1319,97939,252
1320,97990,252
1321,98053,245
1322,98176,249
1323,98266,281
1324,98347,37
1325,98407,249
1326,98504,241
1327,98566,239
1328,98618,252
1329,98690,51
1330,98747,46
1331,98829,251
1332,98924,255
1333,99028,229
1334,99088,255
1335,99135,263
1336,99213,252
1337,99295,35
1338,99372,261
1339,99452,276
1340,99503,235
1341,99583,258
1342,99665,258
1343,99734,268
1344,99804,49
1345,99848,237
1346,99948,266
1347,100009,235
1348,100120,243
1349,100174,49
1350,100269,33
1351,100355,261
1352,100449,227
1353,100553,64
1354,100636,263
1355,100704,239
1356,100773,44
1357,100869,48
1358,100935,264
1359,101020,267
1360,101121,269
1361,101194,259
1362,101300,247
1363,101414,53
1364,101485,237
1365,101563,28
1366,101629,243
1367,101686,249
1368,101757,213
1369,101841,210
1370,101936,237
1371,102039,51
1372,102083,229
1373,102154,267
1374,102255,258
1375,102352,248
1376,102418,248
1377,102485,277
1378,102584,69
1379,102616,224
1380,102688,252
1381,102746,51
1382,102844,262
1383,102932,256
1384,102995,253
1385,103042,0
1386,103141,60
1387,103215,274
1388,103268,264
1389,103331,261
1390,103408,45
1391,103458,238
1392,103499,280
1393,103562,232
1394,103617,64
1395,103696,271
1396,103764,231
1397,103823,300
1398,103925,246
1399,104023,249
1400,104130,245
1401,104199,241
1402,104273,243
1403,104323,253
1404,104366,242
1405,104408,226
1406,104468,236
1407,104567,248
1408,104591,260
1409,104681,256
1410,104778,48
1411,104872,234
1412,104957,262
1413,105033,222
1414,105111,228
1415,105183,244
1416,105243,222
1417,105317,268
1418,105405,241
1419,105463,244
1420,105561,235
1421,105646,238
1422,105736,247
1423,105793,35
1424,105884,261
1425,105972,260
1426,106062,265
1427,106140,252
1428,106220,236
1429,106292,49
1430,106350,40
1431,106444,33
1432,106543,264
1433,106638,249
1434,106721,36
1435,106781,249
1436,106845,264
1437,106895,0
1438,106984,270
1439,107051,257
1440,107107,263
1441,107188,252
1442,107278,238
1443,107370,260
1444,107428,243
1445,107513,252
1446,107571,243
1447,107671,239
1448,107771,263
1449,107869,250
1450,107926,223
1451,108010,236
1452,108105,219
1453,108166,278
1454,108185,59
1455,108247,230
1456,108339,259
1457,108405,274
1458,108488,47
1459,108572,258
1460,108618,244
1461,108710,201
1462,108788,61
1463,108847,242
1464,108890,246
1465,108959,250
1466,109041,248
1467,109120,251
1468,109190,226
1469,109269,243
1470,109345,270
1471,109393,247
1472,109480,52
1473,109529,57
1474,109616,261
1475,109697,249
1476,109779,27
1477,109858,50
1478,109945,55
1479,109998,230
1480,110068,290
1481,110119,231
1482,110213,39
1483,110298,251
1484,110401,248
1485,110466,261
1486,110523,270
1487,110583,265
1488,110645,230
1489,110697,232
1490,110766,254
1491,110836,256
1492,110911,288
1493,111000,25
1494,111036,257
1495,111126,249
1496,111201,243
1497,111256,230
1498,111342,259
1499,111384,35
